
Vgs =1,Tox =2e-09,NA =500000000000000000000000,Phi_m =4.1,Qox =1e-05,mu =0.04,l =1e-05,w =1e-05
Vcb (0),Shi_s (0)
0.01,0.00436280943744921
0.060000000000000005,0.0251090333880538
0.11000000000000001,0.0440877047516053
0.16000000000000003,0.0613036939629680
0.21000000000000002,0.0767833307582418
0.26,0.0905374124652014
0.31,0.102590820194541
0.36,0.112966377763997
0.41,0.121693780364018
0.45999999999999996,0.128808945123804
0.51,0.134362548076481
0.56,0.138423642042107
0.6100000000000001,0.141098793886483
0.6600000000000001,0.142568686582497
0.7100000000000002,0.143153107378001
0.7600000000000002,0.143298522502012
0.8100000000000003,0.143323341563971
0.8600000000000003,0.143327052139516
0.9100000000000004,0.143327592887260
0.9600000000000004,0.143327671388149
1.0100000000000005,0.143327682777784
1.0600000000000005,0.143327684430162
1.1100000000000005,0.143327684669882
1.1600000000000006,0.143327684704659
1.2100000000000006,0.143327684709705
1.2600000000000007,0.143327684710437
1.3100000000000007,0.143327684710543
1.3600000000000008,0.143327684710558
1.4100000000000008,0.143327684710561
1.4600000000000009,0.143327684710561
1.510000000000001,0.143327684710561
1.560000000000001,0.143327684710561
1.610000000000001,0.143327684710561
1.660000000000001,0.143327684710561
1.710000000000001,0.143327684710561
1.7600000000000011,0.143327684710561
1.8100000000000012,0.143327684710561
1.8600000000000012,0.143327684710561
1.9100000000000013,0.143327684710561
1.9600000000000013,0.143327684710561

Vgs =1.5875,Tox =2e-09,NA =500000000000000000000000,Phi_m =4.1,Qox =1e-05,mu =0.04,l =1e-05,w =1e-05
Vcb (1),Shi_s (1)
0.01,0.00819194039374861
0.060000000000000005,0.0480485747926745
0.11000000000000001,0.0860772227524679
0.16000000000000003,0.122272105649441
0.21000000000000002,0.156649177297251
0.26,0.189215325976947
0.31,0.219977735111571
0.36,0.248943923874082
0.41,0.276121798982367
0.45999999999999996,0.301519722196186
0.51,0.325146598943906
0.56,0.347013101987382
0.6100000000000001,0.367126375428130
0.6600000000000001,0.385501363848159
0.7100000000000002,0.402148478569958
0.7600000000000002,0.417084139434042
0.8100000000000003,0.430321953055066
0.8600000000000003,0.441883762957934
0.9100000000000004,0.451792111011410
0.9600000000000004,0.460076229827409
1.0100000000000005,0.466772409343422
1.0600000000000005,0.471932949501296
1.1100000000000005,0.475631593248073
1.1600000000000006,0.477985848614844
1.2100000000000006,0.479201348996730
1.2600000000000007,0.479636543821026
1.3100000000000007,0.479733344988638
1.3600000000000008,0.479749033741461
1.4100000000000008,0.479751354980423
1.4600000000000009,0.479751692690348
1.510000000000001,0.479751741703960
1.560000000000001,0.479751748815054
1.610000000000001,0.479751749846708
1.660000000000001,0.479751749996375
1.710000000000001,0.479751750018088
1.7600000000000011,0.479751750021238
1.8100000000000012,0.479751750021695
1.8600000000000012,0.479751750021761
1.9100000000000013,0.479751750021771
1.9600000000000013,0.479751750021772

Vgs =2.40625,Tox =2e-09,NA =500000000000000000000000,Phi_m =4.1,Qox =1e-05,mu =0.04,l =1e-05,w =1e-05
Vcb (2),Shi_s (2)
0.01,0.0136530953431101
0.060000000000000005,0.0807982155913408
0.11000000000000001,0.146079879094154
0.16000000000000003,0.209503125643326
0.21000000000000002,0.271081627861737
0.26,0.330799452831922
0.31,0.388674114587417
0.36,0.444709871734553
0.41,0.498910986844659
0.45999999999999996,0.551281732701664
0.51,0.601826399753470
0.56,0.650549305171157
0.6100000000000001,0.697454803836019
0.6600000000000001,0.742547301513253
0.7100000000000002,0.785831270437450
0.7600000000000002,0.827311267532878
0.8100000000000003,0.866991955524996
0.8600000000000003,0.904878127272662
0.9100000000000004,0.940981164417619
0.9600000000000004,0.975290296747090
1.0100000000000005,1.00782168889553
1.0600000000000005,1.03858048510930
1.1100000000000005,1.06757230648374
1.1600000000000006,1.09480327918333
1.2100000000000006,1.12028007751859
1.2600000000000007,1.14400998728288
1.3100000000000007,1.16600099615808
1.3600000000000008,1.18626288531167
1.4100000000000008,1.20480263362943
1.4600000000000009,1.22163415349329
1.510000000000001,1.23676899353366
1.560000000000001,1.25022323537518
1.610000000000001,1.26201027013838
1.660000000000001,1.27215518242237
1.710000000000001,1.28068298997502
1.7600000000000011,1.28762827716819
1.8100000000000012,1.29303474177772
1.8600000000000012,1.29697252461958
1.9100000000000013,1.29954629023763
1.9600000000000013,1.30093918176061
