
Vgs =-1.4,Tox =2e-09,ND =500000000000000000000000,Phi_m =4.1,Qox =1e-05,mu =0.04,l =1e-05,w =1e-05
Vds (0),Shi_s (0)
-2,0.167996048933011
-1.95,0.167996048933011
-1.9,0.167996048933011
-1.8499999999999999,0.167996048933011
-1.7999999999999998,0.167996048933011
-1.7499999999999998,0.167996048933011
-1.6999999999999997,0.167996048933011
-1.6499999999999997,0.167996048933011
-1.5999999999999996,0.167996048933011
-1.5499999999999996,0.167996048933011
-1.4999999999999996,0.167996048933011
-1.4499999999999995,0.167996048933011
-1.3999999999999995,0.167996048933011
-1.3499999999999994,0.167996048933011
-1.2999999999999994,0.167996048933011
-1.2499999999999993,0.167996048933011
-1.1999999999999993,0.167996048933011
-1.1499999999999992,0.167996048933011
-1.0999999999999992,0.167996048933012
-1.0499999999999992,0.167996048933016
-0.9999999999999991,0.167996048933043
-0.9499999999999991,0.167996048605460
-0.899999999999999,0.167996048874081
-0.849999999999999,0.167996009259171
-0.7999999999999989,0.167996048932794
-0.7499999999999989,0.167996012392719
-0.6999999999999988,0.167996048919703
-0.6499999999999988,0.167996048840877
-0.5999999999999988,0.167996048297531
-0.5499999999999987,0.167996011921932
-0.4999999999999987,0.167996016492214
-0.44999999999999873,0.167995840788205
-0.39999999999999875,0.167994614235708
-0.34999999999999876,0.167986161455342
-0.29999999999999877,0.167927982423691
-0.24999999999999878,0.167530978060936
-0.1999999999999988,0.164967870395259
-0.1499999999999988,0.152244379414423
-0.0999999999999988,0.117660767767634
-0.049999999999998795,0.0639524467487967

Vgs =-1.9806818181818184,Tox =2e-09,ND =500000000000000000000000,Phi_m =4.1,Qox =1e-05,mu =0.04,l =1e-05,w =1e-05
Vds (1),Shi_s (1)
-2,1.35362701553894
-1.95,1.35362701512427
-1.9,1.35362701450983
-1.8499999999999999,1.35362701362845
-1.7999999999999998,1.35362701240627
-1.7499999999999998,1.35362701077118
-1.6999999999999997,1.35362700866645
-1.6499999999999997,1.35362700606890
-1.5999999999999996,1.35362700300973
-1.5499999999999996,1.35362699959362
-1.4999999999999996,1.35362699601032
-1.4499999999999995,1.35362699253196
-1.3999999999999995,1.35362698949151
-1.3499999999999994,1.35362698724196
-1.2999999999999994,1.35362698610571
-1.2499999999999993,1.35362698634864
-1.1999999999999993,1.35362698828176
-1.1499999999999992,1.35362699266321
-1.0999999999999992,1.35362700056354
-1.0499999999999992,1.35362700106185
-0.9999999999999991,1.35362691465264
-0.9499999999999991,1.35362631611157
-0.899999999999999,1.35362219068362
-0.849999999999999,1.35359376834590
-0.7999999999999989,1.35339852129577
-0.7499999999999989,1.35208342490345
-0.6999999999999988,1.34419586985117
-0.6499999999999988,1.31315912727818
-0.5999999999999988,1.24915959495681
-0.5499999999999987,1.16311997351758
-0.4999999999999987,1.06574916097334
-0.44999999999999873,0.962583373496663
-0.39999999999999875,0.856400832581495
-0.34999999999999876,0.748665486704964
-0.29999999999999877,0.640322665279878
-0.24999999999999878,0.531942269157108
-0.1999999999999988,0.423915899230044
-0.1499999999999988,0.316528083872694
-0.0999999999999988,0.209973376766319
-0.049999999999998795,0.104429975423479

Vgs =-1.6556818181818183,Tox =2e-09,ND =500000000000000000000000,Phi_m =4.1,Qox =1e-05,mu =0.04,l =1e-05,w =1e-05
Vds (2),Shi_s (2)
-2,0.596661396327452
-1.95,0.596661396327452
-1.9,0.596661396327452
-1.8499999999999999,0.596661396327457
-1.7999999999999998,0.596661396327488
-1.7499999999999998,0.596661396327661
-1.6999999999999997,0.596661396327940
-1.6499999999999997,0.596661396102344
-1.5999999999999996,0.596661396327940
-1.5499999999999996,0.596661396327880
-1.4999999999999996,0.596661394813459
-1.4499999999999995,0.596661384010450
-1.3999999999999995,0.596661379408098
-1.3499999999999994,0.596661373817194
-1.2999999999999994,0.596661367347396
-1.2499999999999993,0.596661360263722
-1.1999999999999993,0.596661396327940
-1.1499999999999992,0.596661396327938
-1.0999999999999992,0.596661396327919
-1.0499999999999992,0.596661396327794
-0.9999999999999991,0.596661396326934
-0.9499999999999991,0.596661396321004
-0.899999999999999,0.596661396280128
-0.849999999999999,0.596661395998369
-0.7999999999999989,0.596661368032401
-0.7499999999999989,0.596661379812656
-0.6999999999999988,0.596661288391642
-0.6499999999999988,0.596660652335093
-0.5999999999999988,0.596656268422963
-0.5499999999999987,0.596626069529401
-0.4999999999999987,0.596418820017642
-0.44999999999999873,0.595031817753458
-0.39999999999999875,0.586982348490857
-0.34999999999999876,0.557786142437665
-0.29999999999999877,0.501925298818552
-0.24999999999999878,0.429398268371268
-0.1999999999999988,0.348486857992957
-0.1499999999999988,0.263392465105658
-0.0999999999999988,0.176251807426427
-0.049999999999998795,0.0882039962212828
