
Vgb =-2.1335227272727275,Tox =2e-09,ND =500000000000000000000000,Phi_m =4.1,Qox =1e-05
Vcb (0),Shi_s (0)
0.01,-1.08838488581349
0.060000000000000005,-1.13560790389099
0.11000000000000001,-1.18264994890162
0.16000000000000003,-1.22950537564558
0.21000000000000002,-1.27614361253333
0.26,-1.32252524446242
0.31,-1.36861011617971
0.36,-1.41432799875847
0.41,-1.45960880324401
0.45999999999999996,-1.50433774050810
0.51,-1.54835451476859
0.56,-1.59140690203756
0.6100000000000001,-1.63310249147704
0.6600000000000001,-1.67273997763053
0.7100000000000002,-1.70898644243725
0.7600000000000002,-1.73908690011788
0.8100000000000003,-1.75842153286583
0.8600000000000003,-1.76558168165321
0.9100000000000004,-1.76703318095820
0.9600000000000004,-1.76725838677528
1.0100000000000005,-1.76729139909700
1.0600000000000005,-1.76729619563520
1.1100000000000005,-1.76729689164794
1.1600000000000006,-1.76729698948892
1.2100000000000006,-1.76729700606592
1.2600000000000007,-1.76729700465658
1.3100000000000007,-1.76729700303857
1.3600000000000008,-1.76729700222078
1.4100000000000008,-1.76729700193632
1.4600000000000009,-1.76729700205341
1.510000000000001,-1.76729700250006
1.560000000000001,-1.76729700319837
1.610000000000001,-1.76729700405769
1.660000000000001,-1.76729700498619
1.710000000000001,-1.76729700590352

Vgb =-1.375,Tox =2e-09,ND =500000000000000000000000,Phi_m =4.1,Qox =1e-05
Vcb (1),Shi_s (1)
0.01,-1.00859541756110
0.060000000000000005,-1.04094411120208
0.11000000000000001,-1.06426089127110
0.16000000000000003,-1.07497993228739
0.21000000000000002,-1.07757108740942
0.26,-1.07799543892977
0.31,-1.07805823193320
0.36,-1.07806736820524
0.41,-1.07806869421453
0.45999999999999996,-1.07806886778479
0.51,-1.07806890545037
0.56,-1.07806891855701
0.6100000000000001,-1.07806891914443
0.6600000000000001,-1.07806891922965
0.7100000000000002,-1.07806891924202
0.7600000000000002,-1.07806891924381
0.8100000000000003,-1.07806891924407
0.8600000000000003,-1.07806891922340
0.9100000000000004,-1.07806891924411
0.9600000000000004,-1.07806891333770
1.0100000000000005,-1.07806891924220
1.0600000000000005,-1.07806891924411
1.1100000000000005,-1.07806891924403
1.1600000000000006,-1.07806891924400
1.2100000000000006,-1.07806891924400
1.2600000000000007,-1.07806891924400
1.3100000000000007,-1.07806891924400
1.3600000000000008,-1.07806891924400
1.4100000000000008,-1.07806891924400
1.4600000000000009,-1.07806891924400
1.510000000000001,-1.07806891924400
1.560000000000001,-1.07806891924400
1.610000000000001,-1.07806891924400
1.660000000000001,-1.07806891924400
1.710000000000001,-1.07806891924400

Vgb =-1.375,Tox =2e-09,ND =500000000000000000000000,Phi_m =4.1,Qox =1e-05
Vcb (2),Shi_s (2)
0.01,-1.00859541756110
0.060000000000000005,-1.04094411120208
0.11000000000000001,-1.06426089127110
0.16000000000000003,-1.07497993228739
0.21000000000000002,-1.07757108740942
0.26,-1.07799543892977
0.31,-1.07805823193320
0.36,-1.07806736820524
0.41,-1.07806869421453
0.45999999999999996,-1.07806886778479
0.51,-1.07806890545037
0.56,-1.07806891855701
0.6100000000000001,-1.07806891914443
0.6600000000000001,-1.07806891922965
0.7100000000000002,-1.07806891924202
0.7600000000000002,-1.07806891924381
0.8100000000000003,-1.07806891924407
0.8600000000000003,-1.07806891922340
0.9100000000000004,-1.07806891924411
0.9600000000000004,-1.07806891333770
1.0100000000000005,-1.07806891924220
1.0600000000000005,-1.07806891924411
1.1100000000000005,-1.07806891924403
1.1600000000000006,-1.07806891924400
1.2100000000000006,-1.07806891924400
1.2600000000000007,-1.07806891924400
1.3100000000000007,-1.07806891924400
1.3600000000000008,-1.07806891924400
1.4100000000000008,-1.07806891924400
1.4600000000000009,-1.07806891924400
1.510000000000001,-1.07806891924400
1.560000000000001,-1.07806891924400
1.610000000000001,-1.07806891924400
1.660000000000001,-1.07806891924400
1.710000000000001,-1.07806891924400
