
Vgb =-1.5,Tox =2e-09,ND =500000000000000000000000,Phi_m =4.1,Qox =1e-05
Vcb (0),Shi_s (0)
0.01,-1.03399895711587
0.060000000000000005,-1.07469353833646
0.11000000000000001,-1.11284770939189
0.16000000000000003,-1.14664181209005
0.21000000000000002,-1.17247247339540
0.26,-1.18597446887289
0.31,-1.18971664019180
0.36,-1.19036328921768
0.41,-1.19045997150533
0.45999999999999996,-1.19047406063503
0.51,-1.19047610595283
0.56,-1.19047640270611
0.6100000000000001,-1.19047644444385
0.6600000000000001,-1.19047643201929
0.7100000000000002,-1.19047645291022
0.7600000000000002,-1.19047645304168
0.8100000000000003,-1.19047645306075
0.8600000000000003,-1.19047645306352
0.9100000000000004,-1.19047645306392
0.9600000000000004,-1.19047645306398
1.0100000000000005,-1.19047645306398
1.0600000000000005,-1.19047645306399
1.1100000000000005,-1.19047645306399
1.1600000000000006,-1.19047645306399
1.2100000000000006,-1.19047645301182
1.2600000000000007,-1.19047645306397
1.3100000000000007,-1.19047645306399
1.3600000000000008,-1.19047645304517
1.4100000000000008,-1.19047645306398
1.4600000000000009,-1.19047645306382
1.510000000000001,-1.19047645306375
1.560000000000001,-1.19047645306374
1.610000000000001,-1.19047645306374
1.660000000000001,-1.19047645306374
1.710000000000001,-1.19047645306374

Vgb =-1.796875,Tox =2e-09,ND =500000000000000000000000,Phi_m =4.1,Qox =1e-05
Vcb (1),Shi_s (1)
0.01,-1.06665620562522
0.060000000000000005,-1.11225893126055
0.11000000000000001,-1.15741300899974
0.16000000000000003,-1.20199475533846
0.21000000000000002,-1.24583699954674
0.26,-1.28867160777098
0.31,-1.33008713377565
0.36,-1.36933501058185
0.41,-1.40497235422585
0.45999999999999996,-1.43406894882672
0.51,-1.45193026979363
0.56,-1.45808288830834
0.6100000000000001,-1.45927308442446
0.6600000000000001,-1.45945556611199
0.7100000000000002,-1.45948226373280
0.7600000000000002,-1.45948614166573
0.8100000000000003,-1.45948670435875
0.8600000000000003,-1.45948678444289
0.9100000000000004,-1.45948679318936
0.9600000000000004,-1.45948678742313
1.0100000000000005,-1.45948679980446
1.0600000000000005,-1.45948679984062
1.1100000000000005,-1.45948679984587
1.1600000000000006,-1.45948679984663
1.2100000000000006,-1.45948679984674
1.2600000000000007,-1.45948679984676
1.3100000000000007,-1.45948678611749
1.3600000000000008,-1.45948678831163
1.4100000000000008,-1.45948679049393
1.4600000000000009,-1.45948679251849
1.510000000000001,-1.45948679429113
1.560000000000001,-1.45948679576728
1.610000000000001,-1.45948679694271
1.660000000000001,-1.45948679784132
1.710000000000001,-1.45948679850283
0.01,-1.06665620562522
0.060000000000000005,-1.11225893126055
0.11000000000000001,-1.15741300899974
0.16000000000000003,-1.20199475533846
0.21000000000000002,-1.24583699954674
0.26,-1.28867160777098
0.31,-1.33008713377565
0.36,-1.36933501058185
0.41,-1.40497235422585
0.45999999999999996,-1.43406894882672
0.51,-1.45193026979363
0.56,-1.45808288830834
0.6100000000000001,-1.45927308442446
0.6600000000000001,-1.45945556611199
0.7100000000000002,-1.45948226373280
0.7600000000000002,-1.45948614166573
0.8100000000000003,-1.45948670435875
0.8600000000000003,-1.45948678444289
0.9100000000000004,-1.45948679318936
0.9600000000000004,-1.45948678742313
1.0100000000000005,-1.45948679980446
1.0600000000000005,-1.45948679984062
1.1100000000000005,-1.45948679984587
1.1600000000000006,-1.45948679984663
1.2100000000000006,-1.45948679984674
1.2600000000000007,-1.45948679984676
1.3100000000000007,-1.45948678611749
1.3600000000000008,-1.45948678831163
1.4100000000000008,-1.45948679049393
1.4600000000000009,-1.45948679251849
1.510000000000001,-1.45948679429113
1.560000000000001,-1.45948679576728
1.610000000000001,-1.45948679694271
1.660000000000001,-1.45948679784132
1.710000000000001,-1.45948679850283

Vgb =-2.231534090909091,Tox =2e-09,ND =500000000000000000000000,Phi_m =4.1,Qox =1e-05
Vcb (2),Shi_s (2)
0.01,-1.09330526839052
0.060000000000000005,-1.14078597184018
0.11000000000000001,-1.18813120318741
0.16000000000000003,-1.23533109288224
0.21000000000000002,-1.28234752237064
0.26,-1.32917242580977
0.31,-1.37577763701387
0.36,-1.42211150633606
0.41,-1.46814284351355
0.45999999999999996,-1.51379168496456
0.51,-1.55898532784962
0.56,-1.60359956867785
0.6100000000000001,-1.64746040285759
0.6600000000000001,-1.69028879861992
0.7100000000000002,-1.73164736535301
0.7600000000000002,-1.77073706731547
0.8100000000000003,-1.80600052147674
0.8600000000000003,-1.83428169212402
0.9100000000000004,-1.85086241551730
0.9600000000000004,-1.85619528650409
1.0100000000000005,-1.85718660426425
1.0600000000000005,-1.85733715981251
1.1100000000000005,-1.85735915332606
1.1600000000000006,-1.85736234726321
1.2100000000000006,-1.85736281069268
1.2600000000000007,-1.85736287705840
1.3100000000000007,-1.85736288612589
1.3600000000000008,-1.85736288490391
1.4100000000000008,-1.85736288379282
1.4600000000000009,-1.85736288325740
1.510000000000001,-1.85736288311559
1.560000000000001,-1.85736288328029
1.610000000000001,-1.85736288369388
1.660000000000001,-1.85736288429045
1.710000000000001,-1.85736288499593
0.01,-1.09330526839052
0.060000000000000005,-1.14078597184018
0.11000000000000001,-1.18813120318741
0.16000000000000003,-1.23533109288224
0.21000000000000002,-1.28234752237064
0.26,-1.32917242580977
0.31,-1.37577763701387
0.36,-1.42211150633606
0.41,-1.46814284351355
0.45999999999999996,-1.51379168496456
0.51,-1.55898532784962
0.56,-1.60359956867785
0.6100000000000001,-1.64746040285759
0.6600000000000001,-1.69028879861992
