
Vds =1,Tox =2e-09,ND =500000000000000000000000,Phi_m =4.1,Qox =1e-05,mu =0.04,l =1e-05,w =1e-05
Vgs (0),Shi_s (0)
-3,0.900961405439327
-2.95,0.868460957085012
-2.9000000000000004,0.836044740334070
-2.8500000000000005,0.803720438506040
-2.8000000000000007,0.771484516296011
-2.750000000000001,0.739344199180430
-2.700000000000001,0.707294917086473
-2.6500000000000012,0.675327892358800
-2.6000000000000014,0.643417932259176
-2.5500000000000016,0.611521184896472
-2.5000000000000018,0.579532157787083
-2.450000000000002,0.547261208739026
-2.400000000000002,0.514257611530730
-2.3500000000000023,0.479804793890255
-2.3000000000000025,0.443733051506163
-2.2500000000000027,0.407502979116608
-2.200000000000003,0.372410723167301
-2.150000000000003,0.338843116406758
-2.100000000000003,0.306870207638471
-2.0500000000000034,0.276495876903878
-2.0000000000000036,0.247722032393870
-1.9500000000000035,0.220534199512696
-1.9000000000000035,0.194924648855144
-1.8500000000000034,0.170883308885127
-1.8000000000000034,0.148397480704503
-1.7500000000000033,0.127461269585868
-1.7000000000000033,0.108054900463961
-1.6500000000000032,0.0901671474078941
-1.6000000000000032,0.0737845100268595
-1.5500000000000032,0.0588947827283511
-1.500000000000003,0.0454973730303033
-1.450000000000003,0.0335926971296232
-1.400000000000003,0.0232179324118944
-1.350000000000003,0.0144690057862781
-1.300000000000003,0.00758018301107419
-1.2500000000000029,0.00295761337686756
-1.2000000000000028,0.000781912194809786
-1.1500000000000028,0.000157812876789311
-1.1000000000000028,2.91827503256117e-5
-1.0500000000000027,5.31543108681053e-6
-1.0000000000000027,9.65010505134107e-7
-0.9500000000000026,1.77154283966192e-7
-0.9000000000000026,3.28271351713768e-8
-0.8500000000000025,6.10329441218589e-9
-0.8000000000000025,1.14334491491459e-9
-0.7500000000000024,2.16011904594568e-10
-0.7000000000000024,4.11927289172971e-11
-0.6500000000000024,7.93589782231423e-12
-0.6000000000000023,1.54906790899073e-12
-0.5500000000000023,3.06283492448274e-13
-0.5000000000000022,6.15234616863561e-14
-0.45000000000000223,1.25881558569584e-14
-0.40000000000000224,2.63037874238246e-15
-0.35000000000000225,5.66838139157342e-16
-0.30000000000000226,1.27235429625567e-16
-0.2500000000000023,2.97963289190269e-17
-0.2000000000000023,8.15500993555806e-18
-0.1500000000000023,2.03423199564253e-18
-0.1000000000000023,6.61735776668287e-19

Vds =0.5026420454545454,Tox =2e-09,ND =500000000000000000000000,Phi_m =4.1,Qox =1e-05,mu =0.04,l =1e-05,w =1e-05
Vgs (1),Shi_s (1)
-3,0.533184893535393
-2.95,0.516622704389219
-2.9000000000000004,0.500092346508976
-2.8500000000000005,0.483595565618734
-2.8000000000000007,0.467134452168215
-2.750000000000001,0.450711434122910
-2.700000000000001,0.434329272789972
-2.6500000000000012,0.417991062337573
-2.6000000000000014,0.401700232629013
-2.5500000000000016,0.385462166631950
-2.5000000000000018,0.369269963331922
-2.450000000000002,0.353150359423734
-2.400000000000002,0.337089475266422
-2.3500000000000023,0.321100329572601
-2.3000000000000025,0.305183128499544
-2.2500000000000027,0.289345353730198
-2.200000000000003,0.273589581182196
-2.150000000000003,0.257916881547852
-2.100000000000003,0.242323685619443
-2.0500000000000034,0.226787404192237
-2.0000000000000036,0.211283941020243
-1.9500000000000035,0.195721989600312
-1.9000000000000035,0.179919554143294
-1.8500000000000034,0.163490321908683
-1.8000000000000034,0.145812704183697
-1.7500000000000033,0.126855477612865
-1.7000000000000033,0.107941153898272
-1.6500000000000032,0.0901470221304187
-1.6000000000000032,0.0737809830782198
-1.5500000000000032,0.0588941643361126
-1.500000000000003,0.0454972643600615
-1.450000000000003,0.0335926795755364
-1.400000000000003,0.0232179289195552
-1.350000000000003,0.0144690007115178
-1.300000000000003,0.00758018181979605
-1.2500000000000029,0.00295761331844212
-1.2000000000000028,0.000781912191428124
-1.1500000000000028,0.000157812876182312
-1.1000000000000028,2.91827502161682e-5
-1.0500000000000027,5.31543106699919e-6
-1.0000000000000027,9.65010501846643e-7
-0.9500000000000026,1.77154283291726e-7
-0.9000000000000026,3.28271350349934e-8
-0.8500000000000025,6.10329438977946e-9
-0.8000000000000025,1.14334491491459e-9
-0.7500000000000024,2.16011904594568e-10
-0.7000000000000024,4.11927289172971e-11
-0.6500000000000024,7.93589782231423e-12
-0.6000000000000023,1.54906790899073e-12
-0.5500000000000023,3.06283492448274e-13
-0.5000000000000022,6.15234616863561e-14
-0.45000000000000223,1.25881558569584e-14
-0.40000000000000224,2.63037874238246e-15
-0.35000000000000225,5.66838139157342e-16
-0.30000000000000226,1.27235429625567e-16
-0.2500000000000023,2.97963289190269e-17
-0.2000000000000023,8.15500993555806e-18
-0.1500000000000023,2.03423199564253e-18
-0.1000000000000023,6.61735776668287e-19
