
Vds =1.2,Tox =2e-09,NA =500000000000000000000000,Phi_m =4.1,Qox =1e-05,mu =0.04,l =1e-05,w =1e-05
Vgs (0),Shi_s (0)
0.01,2.60924507155793e-7
0.060000000000000005,1.39414107080876e-6
0.11000000000000001,7.46781362644597e-6
0.16000000000000003,3.93010902237053e-5
0.21000000000000002,0.000181946257660149
0.26,0.000680774493983466
0.31,0.00185316425747122
0.36,0.00390993004157685
0.41,0.00709053695885879
0.45999999999999996,0.0114260439749487
0.51,0.0168209242719770
0.56,0.0237304481117191
0.6100000000000001,0.0319341648346813
0.6600000000000001,0.0414661905653607
0.7100000000000002,0.0523556076342449
0.7600000000000002,0.0643275633482384
0.8100000000000003,0.0781715647288809
0.8600000000000003,0.0933692801153483
0.9100000000000004,0.109922788149812
0.9600000000000004,0.127834084460291
1.0100000000000005,0.147105087037381
1.0600000000000005,0.168224662862840
1.1100000000000005,0.190587431105421
1.1600000000000006,0.214423147058998
1.2100000000000006,0.239734629401008
1.2600000000000007,0.266523538433086
1.3100000000000007,0.294790507300228
1.3600000000000008,0.324535123397666
1.4100000000000008,0.355755114438484
1.4600000000000009,0.388441043965761
1.510000000000001,0.422548973942668
1.560000000000001,0.458978250819799
1.610000000000001,0.495647006274387
1.660000000000001,0.532902230210795
1.710000000000001,0.570603882485642
1.7600000000000011,0.608653759411389
1.8100000000000012,0.647091094084544
1.8600000000000012,0.685556245531767
1.9100000000000013,0.724214621296928
1.9600000000000013,0.763029979043102
2.010000000000001,0.802240973475770
2.060000000000001,0.841124029710165
2.1100000000000008,0.880156776560166
2.1600000000000006,0.919335767215970
2.2100000000000004,0.958657127798644
2.2600000000000002,0.998116584850324
2.31,1.03884478484558
2.36,1.07854107376451
2.4099999999999997,1.11830826437193
2.4599999999999995,1.15814565958412
2.5099999999999993,1.19805342899035
2.559999999999999,1.23803239283226
2.609999999999999,1.27808383295059
2.659999999999999,1.31820932667695
2.7099999999999986,1.35841060075064
2.7599999999999985,1.39768556085891
2.8099999999999983,1.43771849268554
2.859999999999998,1.47776638351663
2.909999999999998,1.51782476686459
2.9599999999999977,1.55788925969932

Vds =0.5368181818181817,Tox =2e-09,NA =500000000000000000000000,Phi_m =4.1,Qox =1e-05,mu =0.04,l =1e-05,w =1e-05
Vgs (1),Shi_s (1)
0.01,2.60924506897459e-7
0.060000000000000005,1.39414106939170e-6
0.11000000000000001,7.46781361895442e-6
0.16000000000000003,3.93010901831215e-5
0.21000000000000002,0.000181946257438954
0.26,0.000680774492771507
0.31,0.00185316425079647
0.36,0.00390993000464068
0.41,0.00709053675354533
0.45999999999999996,0.0114260428288565
0.51,0.0168209178487131
0.56,0.0237304119768902
0.6100000000000001,0.0319339608477714
0.6600000000000001,0.0414650358923537
0.7100000000000002,0.0523490763816808
0.7600000000000002,0.0642913647442500
0.8100000000000003,0.0779960734085686
0.8600000000000003,0.0926874352186885
0.9100000000000004,0.108029765471976
0.9600000000000004,0.123791109488077
1.0100000000000005,0.139757256103153
1.0600000000000005,0.156372924024750
1.1100000000000005,0.173085823469879
1.1600000000000006,0.189775844115471
1.2100000000000006,0.206610902587122
1.2600000000000007,0.223559737259477
1.3100000000000007,0.240917430031505
1.3600000000000008,0.257841552092031
1.4100000000000008,0.274874655143416
1.4600000000000009,0.292013825215787
1.510000000000001,0.309255682363452
1.560000000000001,0.327661691275547
1.610000000000001,0.344961953617305
1.660000000000001,0.362515987848803
1.710000000000001,0.380115037848923
1.7600000000000011,0.397758324610755
1.8100000000000012,0.415445752033749
1.8600000000000012,0.433177722929665
1.9100000000000013,0.450954980313498
1.9600000000000013,0.468778471342638
2.010000000000001,0.486649231717729
2.060000000000001,0.504568288687582
2.1100000000000008,0.521418535644673
2.1600000000000006,0.539094637437836
2.2100000000000004,0.556755636807901
2.2600000000000002,0.574396500245271
2.31,0.593717610196607
2.36,0.611681852622437
2.4099999999999997,0.629672068428173
2.4599999999999995,0.647689468642390
2.5099999999999993,0.665735501322395
2.559999999999999,0.683811816780265
2.609999999999999,0.701920227631644
2.659999999999999,0.720062664564685
2.7099999999999986,0.738241128913953
2.7599999999999985,0.756457643252662
2.8099999999999983,0.773167975024487
2.859999999999998,0.791109194856439
2.909999999999998,0.809034828704885
2.9599999999999977,0.826940863653664
