
Tox =4e-09,NA =500000000000000000000000,Phi_m =3.96668,Qox =1e-05
Vgb (0),Shi_s (0),Qc (0),dq/dVgb (0)
-0.5,0.336156156311116,-0.00226768604130922,0.00256757641706793
-0.45,0.371569373729261,-0.00239360862999396,0.00247117104016397
-0.4,0.407510816877785,-0.00251497123080002,0.00238486669112651
-0.35000000000000003,0.443926928989799,-0.00263223592129652,0.00230701547790256
-0.30000000000000004,0.480772712082690,-0.00274579192809331,0.00223632208227319
-0.25000000000000006,0.518009744141771,-0.00285597016476232,0.00217175324278569
-0.20000000000000007,0.555605065059887,-0.00296305529077672,0.00211247363205200
-0.15000000000000008,0.593530036186268,-0.00306729404921877,0.00205780204291601
-0.10000000000000007,0.631759824197554,-0.00316890303776106,0.00200718589482051
-0.05000000000000007,0.670271993447591,-0.00326807345988382,0.00196021470808493
-6.938893903907228e-17,0.709046084561479,-0.00336498279868548,0.00191676777448323
0.04999999999999993,0.748059953317273,-0.00345982222240579,0.00187775346641691
0.09999999999999994,0.787276462455946,-0.00355291233049980,0.00184849430637880
0.14999999999999994,0.826584690265197,-0.00364521065770347,0.00185374737990934
0.19999999999999996,0.865550806208059,-0.00374046231954667,0.00199704627277083
0.24999999999999994,0.902590251183162,-0.00385234637445601,0.00259153141763811
0.29999999999999993,0.934078450277350,-0.00401215232322706,0.00389335226411640
0.3499999999999999,0.957348562743405,-0.00424308811649748,0.00528443204958673
0.3999999999999999,0.973768158732912,-0.00453281621280787,0.00623305755286553
0.4499999999999999,0.985849715058828,-0.00486012918804957,0.00681337491491452
0.4999999999999999,0.995250430700696,-0.00521060609966760,0.00717962061765453
0.5499999999999999,1.00291757943521,-0.00557637366439227,0.00742500610987560
0.6,1.00937984177535,-0.00595199490859465,0.00759843588483213
0.65,1.01497944323794,-0.00633521863484388,0.00772700251077919
0.7000000000000001,1.01992657885643,-0.00672412353595147,0.00782588894641323
0.7500000000000001,1.02436399538428,-0.00711744339289964,0.00790426418887439
0.8000000000000002,1.02839235035426,-0.00751429885055169,0.00796792787173363
0.8500000000000002,1.03209540517995,-0.00791522899677563,0.00802084412293795
0.9000000000000002,1.03550188675510,-0.00831682668383375,0.00806526054037665
0.9500000000000003,1.03867290015753,-0.00872075536634325,0.00810328519237974
1.0000000000000002,1.04164022608891,-0.00912660555565452,0.00813622484960336
